What is a growth investing strategy?,Growth investing focuses on companies with high potential for revenue and earnings growth.
What is a value investing strategy?,Value investing focuses on undervalued stocks with strong fundamentals.
What is a follow-on offering?,A follow-on offering is when a publicly traded company issues additional shares.
What is a short squeeze?,"A short squeeze happens when short-sellers are forced to buy back shares, driving prices up."
What is a margin account?,A margin account allows investors to borrow money to trade stocks.
What is leverage in stock trading?,Leverage involves using borrowed money to increase potential returns.
What is a day order?,A day order is a stock order that expires if not executed by the end of the trading day.
What is an after-hours trade?,An after-hours trade occurs outside of regular market hours.
What is a pre-market trade?,A pre-market trade occurs before the official market opening hours.
What is market sentiment?,Market sentiment refers to the overall attitude of investors toward the stock market.
What is a trading volume spike?,A volume spike indicates unusually high trading activity in a stock.
What is an earnings call?,An earnings call is a conference where company executives discuss financial performance.
What is a price target?,A price target is an analyst’s prediction of a stock’s future price.
What is an uptrend in stock trading?,An uptrend occurs when stock prices consistently move higher over time.
What is a downtrend in stock trading?,A downtrend occurs when stock prices consistently move lower over time.
What is a support level?,A support level is a price point where a stock tends to stop falling and bounce back.
What is a resistance level?,A resistance level is a price point where a stock tends to stop rising and pull back.
What is a symmetrical triangle pattern?,A symmetrical triangle pattern signals consolidation before a breakout.
What is a head and shoulders pattern?,A head and shoulders pattern indicates a trend reversal.
What is a double top pattern?,A double top pattern is a bearish reversal signal.
What is a double bottom pattern?,A double bottom pattern is a bullish reversal signal.
What is a cup and handle pattern?,A cup and handle pattern is a bullish continuation signal.
What is an ascending triangle pattern?,An ascending triangle pattern is a bullish continuation signal.
What is a descending triangle pattern?,A descending triangle pattern is a bearish continuation signal.
What is a symmetrical wedge pattern?,A symmetrical wedge pattern indicates potential price consolidation.
What is a stock’s float?,A stock’s float is the number of shares available for public trading.
What is a preferred stock?,A preferred stock is a type of equity that gives shareholders fixed dividends.
What is a common stock?,A common stock represents ownership in a company with voting rights.
What is a stockholder?,A stockholder is an individual or entity that owns shares in a company.
What is a brokerage account?,A brokerage account is an account that allows investors to buy and sell securities.
What is a discount broker?,A discount broker offers lower commission rates but limited advisory services.
What is a full-service broker?,A full-service broker provides investment advice and research along with trading services.
What is an investment bank?,An investment bank helps companies raise capital through stock issuance and other financial services.
What is an actively managed fund?,An actively managed fund is a mutual fund where managers make investment decisions.
What is a passively managed fund?,A passively managed fund tracks an index and requires minimal management.
What is asset allocation?,Asset allocation is the strategy of dividing investments among different asset classes.
What is dollar-cost averaging?,Dollar-cost averaging is an investment strategy where fixed amounts are invested at regular intervals.
What is diversification?,Diversification is spreading investments across different assets to reduce risk.
What is rebalancing?,Rebalancing adjusts a portfolio to maintain a desired asset allocation.
What is a speculative stock?,A speculative stock is high-risk with uncertain returns.
What is a cyclical industry?,A cyclical industry performs well in economic booms and poorly in downturns.
What is a defensive industry?,A defensive industry remains stable during economic downturns.
What is a yield curve?,A yield curve shows the relationship between bond yields and maturity lengths.
What is a stock bubble?,A stock bubble occurs when prices rise far above their intrinsic value.
What is a market crash?,"A market crash is a sudden, sharp decline in stock prices."
What is a capital gain?,A capital gain is the profit from selling an investment at a higher price.
What is a capital loss?,A capital loss is when an investment is sold for less than its purchase price.
What is an economic indicator?,An economic indicator is a statistic that reflects economic performance.
What is a stock?,A stock represents ownership in a company and constitutes a claim on part of its assets and earnings.
What are blue-chip stocks?,"Blue-chip stocks are shares of well-established, financially stable, and reputable companies with a long history of performance."
What is the Dow Jones Industrial Average?,The Dow Jones Industrial Average (DJIA) is an index of 30 major U.S. companies that tracks overall market performance.
What is the Nasdaq Composite?,"The Nasdaq Composite is an index that includes all stocks listed on the Nasdaq stock exchange, with a heavy weighting toward technology companies."
What is a stock ticker symbol?,A stock ticker symbol is a unique series of letters assigned to a publicly traded company for identification on exchanges.
What is a dividend yield?,"Dividend yield is the annual dividend payment divided by the stock's current price, expressed as a percentage."
What is a P/E ratio?,The Price-to-Earnings (P/E) ratio measures a company's stock price relative to its earnings per share.
What are support and resistance levels?,"Support is a price level where buying interest prevents a stock from falling further, while resistance is a level where selling interest prevents it from rising."
What is the RSI indicator?,The Relative Strength Index (RSI) is a momentum indicator that measures the speed and change of price movements to identify overbought or oversold conditions.
What is the MACD indicator?,The Moving Average Convergence Divergence (MACD) is a trend-following momentum indicator that shows the relationship between two moving averages.
What is bid-ask spread?,The bid-ask spread is the difference between the highest price a buyer is willing to pay and the lowest price a seller is willing to accept.
What are penny stocks?,"Penny stocks are low-priced, small-cap stocks that are highly speculative and often illiquid."
What is a REIT?,"A Real Estate Investment Trust (REIT) is a company that owns, operates, or finances income-generating real estate."
